,0
method_name,cluster_id
getOwnerDocument,2
getNodeType,2
getNodeName,2
cloneNode,2
insertBefore,2
removeChild,2
replaceChild,2
getTextContent,2
setTextContent,2
getFeature,2
createAttribute,4
createCDATASection,2
createComment,2
createDocumentFragment,2
createElement,4
createEntityReference,4
createProcessingInstruction,4
createTextNode,2
getDoctype,2
getDocumentElement,2
getElementsByTagName,2
getImplementation,2
setErrorChecking,2
setStrictErrorChecking,2
getErrorChecking,2
getStrictErrorChecking,2
getInputEncoding,2
setInputEncoding,2
setXmlEncoding,2
setEncoding,2
getXmlEncoding,2
getEncoding,2
setXmlVersion,2
setVersion,2
getXmlVersion,2
getVersion,2
setXmlStandalone,2
setStandalone,2
getXmlStandalone,2
getStandalone,2
getDocumentURI,2
canRenameElements,2
renameNode,0
replaceRenameElement,0
normalizeDocument,2
getDomConfig,2
getBaseURI,2
setDocumentURI,2
getAsync,2
setAsync,2
abort,2
load,2
loadXML,2
saveXML,2
setMutationEvents,2
getMutationEvents,2
createDocumentType,2
createEntity,4
createNotation,4
createElementDefinition,4
getNodeNumber,2
importNode,1
adoptNode,3
undeferChildren,2
getElementById,2
clearIdentifiers,2
putIdentifier,2
getIdentifier,2
removeIdentifier,2
getIdentifiers,2
createElementNS,2
createAttributeNS,2
getElementsByTagNameNS,2
clone,2
isXMLName,2
isValidQName,2
isKidOK,2
changed,2
changes,2
getNodeListCache,2
freeNodeListCache,2
setUserData,2
getUserData,2
getUserDataRecord,2
removeUserDataTable,2
setUserDataTable,2
callUserDataHandlers,2
checkNamespaceWF,2
checkDOMNSErr,2
checkQName,4
isXML11Version,2
isNormalizeDocRequired,2
isXMLVersionChanged,2
addEventListener,2
removeEventListener,2
copyEventListeners,2
dispatchEvent,2
replacedText,2
deletedText,2
insertedText,2
modifyingCharacterData,2
modifiedCharacterData,2
insertingNode,2
insertedNode,2
removingNode,2
removedNode,2
replacingNode,2
replacedNode,2
replacingData,2
replacedCharacterData,2
modifiedAttrValue,2
setAttrNode,2
removedAttrNode,2
renamedAttrNode,2
renamedElement,2
readObject,2
writeObject,2
